frame,time_sec,in_flux,out_flux,net_flux,in_event_active,out_event_active
1,0.041666666666666664,1.3374112844467163,586.218017578125,-584.8806062936783,False,True
2,0.08333333333333333,716.071533203125,0.0,716.071533203125,True,False
3,0.125,269.8196716308594,399.36737060546875,-129.54769897460938,True,False
4,0.16666666666666666,570.8436279296875,56.086769104003906,514.7568588256836,True,False
5,0.20833333333333334,1670.6092529296875,0.0,1670.6092529296875,True,False
6,0.25,2306.23046875,233.53506469726562,2072.6954040527344,True,False
7,0.2916666666666667,2048.742431640625,12.513545989990234,2036.2288856506348,True,False
8,0.3333333333333333,3976.599609375,0.0,3976.599609375,True,False
9,0.375,2318.61376953125,0.0,2318.61376953125,True,False
10,0.4166666666666667,1042.85107421875,5.368041038513184,1037.4830331802368,True,False
11,0.4583333333333333,1224.092041015625,14.422672271728516,1209.6693687438965,True,False
12,0.5,1911.697265625,2.333169937133789,1909.3640956878662,True,False
13,0.5416666666666666,1357.6259765625,733.8604125976562,623.7655639648438,True,True
14,0.5833333333333334,27.768220901489258,1492.701904296875,-1464.9336833953857,True,True
15,0.625,239.9695587158203,388.81744384765625,-148.84788513183594,True,True
16,0.6666666666666666,1722.1884765625,129.75558471679688,1592.4328918457031,True,True
17,0.7083333333333334,320.64703369140625,2292.73486328125,-1972.0878295898438,True,True
18,0.75,1357.2125244140625,2544.43994140625,-1187.2274169921875,True,True
19,0.7916666666666666,389.90594482421875,1107.7481689453125,-717.8422241210938,True,True
20,0.8333333333333334,982.383544921875,148.5800323486328,833.8035125732422,True,True
21,0.875,3839.632080078125,887.02197265625,2952.610107421875,True,True
22,0.9166666666666666,7158.71826171875,89.05677795410156,7069.661483764648,True,True
23,0.9583333333333334,4686.724609375,1.0159982442855835,4685.708611130714,True,False
24,1.0,477.0624694824219,2630.0654296875,-2153.002960205078,True,False
25,1.0416666666666667,586.0699462890625,1654.324951171875,-1068.2550048828125,True,False
26,1.0833333333333333,61.69286346435547,3256.58935546875,-3194.8964920043945,True,False
