window,start_sec,end_sec,in_event_count,out_event_count,in_count_est_sum,out_count_est_sum,in_count_round_sum,out_count_round_sum,net_count_round
0,0.0,3.0,1,2,1438.3073320007325,1174.050200702101,1438,1174,264
1,3.0,6.0,2,5,3321.515687255859,337.7060775756836,3321,338,2983
2,6.0,9.0,1,2,2054.547000732422,601.709688463211,2055,602,1453
3,9.0,12.0,1,2,1110.733017311096,697.9050863552093,1111,698,413
4,12.0,15.0,2,2,2097.141728448868,1517.6563671588897,2097,1517,580
5,15.0,18.0,3,4,403.07557357788085,454.2041806566715,403,454,-51
6,18.0,21.0,2,3,856.6567807483674,834.9574560832978,857,835,22
7,21.0,24.0,1,1,484.2545116519928,909.5994327926636,484,910,-426
8,24.0,27.0,2,2,2186.504157447815,1291.1855069422722,2186,1291,895
9,27.0,30.0,1,2,1511.7045352172852,855.5022630214692,1512,856,656
10,30.0,33.0,2,2,1255.3444917535783,1751.3888622283935,1255,1752,-497
11,33.0,36.0,1,1,1107.2615872192382,1068.8473274230957,1107,1069,38
12,36.0,39.0,2,5,2130.024082134962,762.1701449936628,2130,763,1367
13,39.0,42.0,4,2,272.7945984196663,532.996546331942,273,533,-260
14,42.0,45.0,4,7,1078.8257124441861,208.43133056640625,1079,209,870
15,45.0,48.0,1,7,1307.2275678253175,1018.0352305459977,1307,1019,288
16,48.0,51.0,2,3,2400.1424978828427,421.9440354156494,2400,423,1977
17,51.0,54.0,1,3,1071.664429473877,827.993704185486,1072,828,244
18,54.0,57.0,1,1,1169.4412141418456,489.23655637741086,1169,489,680
19,57.0,60.0,2,2,2210.8724472045897,1883.972330532074,2211,1884,327
20,60.0,63.0,1,1,1277.6384103393555,2012.9722164916993,1278,2013,-735
21,63.0,66.0,1,2,2476.134371948242,2199.3365962052344,2476,2199,277
22,66.0,69.0,2,1,3397.4674365615847,1081.3103184223176,3398,1081,2317
23,69.0,72.0,1,2,2259.965625,2098.9397098954023,2260,2099,161
24,72.0,75.0,3,2,1045.8565813982486,389.4326990842819,1045,390,655
25,75.0,78.0,2,2,518.4016337680816,2893.613298826218,518,2893,-2375
26,78.0,81.0,1,1,1000.8383440208435,1227.4150230407715,1001,1227,-226
27,81.0,84.0,2,3,3439.173703536987,1701.5643078613282,3439,1702,1737
28,84.0,87.0,3,2,651.684487566948,24.3544658139348,652,24,628
29,87.0,90.0,2,3,851.1803606414795,1587.0600511145592,851,1587,-736
30,90.0,93.0,2,3,1491.5738380765915,166.82816829234363,1491,166,1325
31,93.0,96.0,1,2,802.7573058319092,1792.5165682601928,803,1792,-989
32,96.0,99.0,2,6,3105.4827635955808,217.44310500323772,3106,218,2888
33,99.0,102.0,1,3,1020.3078476715087,569.1222161507607,1020,569,451
34,102.0,105.0,3,5,2302.775670611486,752.5487412828207,2302,751,1551
35,105.0,108.0,1,4,1613.2273911714553,415.3621780538559,1613,415,1198
36,108.0,111.0,3,2,558.6685595035553,2157.3180085229874,558,2157,-1599
37,111.0,114.0,2,2,746.4742221069336,1284.537134437561,747,1284,-537
38,114.0,117.0,1,4,1559.6738749694823,345.49462602257734,1560,347,1213
39,117.0,120.0,2,5,3161.3957489585873,586.2648726642133,3162,586,2576
40,120.0,123.0,4,7,1660.7007983112335,325.3649372899533,1661,327,1334
41,123.0,126.0,2,2,413.5367830502987,980.5720237541199,413,981,-568
42,126.0,129.0,1,2,1487.983606262207,1797.1761093139648,1488,1797,-309
43,129.0,132.0,3,3,1640.7915955650808,340.181294901967,1641,340,1301
44,132.0,135.0,2,1,1205.3580655288697,1357.6641846466064,1206,1358,-152
45,135.0,138.0,3,3,82.66256554722786,425.7795265078545,83,426,-343
46,138.0,141.0,2,1,1062.2987424468993,551.2143869400024,1063,551,512
47,141.0,144.0,1,2,1428.8607333374023,2183.8288365364074,1429,2184,-755
48,144.0,147.0,2,3,1629.8236658763885,879.9398003911972,1630,880,750
49,147.0,150.0,2,1,606.9747571253777,1480.8127832317352,607,1481,-874
