direction,start_sec,end_sec,duration_sec,flux_sum,peak_flux,count_est,count_round
IN,0.041666666666666664,2.0833333333333335,2.041666666666667,143830.73320007324,6725.994140625,1438.3073320007325,1438
OUT,0.041666666666666664,2.0833333333333335,2.041666666666667,101190.46036720276,8329.541015625,1011.9046036720276,1012
OUT,2.3333333333333335,3.375,1.0416666666666665,16214.55970300734,2314.861328125,162.14559703007342,162
OUT,3.625,3.6666666666666665,0.04166666666666652,109.62167978286743,106.83885192871094,1.0962167978286743,1
OUT,3.9583333333333335,4.041666666666667,0.08333333333333348,379.2248089313507,290.3773498535156,3.792248089313507,4
IN,2.3333333333333335,4.375,2.0416666666666665,146538.55560302734,9094.41015625,1465.3855560302734,1465
OUT,4.333333333333333,4.375,0.04166666666666696,4986.4208984375,4986.4208984375,49.864208984375,50
OUT,4.625,4.791666666666667,0.16666666666666696,4316.244171142578,2909.666259765625,43.16244171142578,43
OUT,5.041666666666667,5.875,0.833333333333333,23979.096199274063,9364.2578125,239.79096199274062,240
IN,4.625,6.625,2.0,185613.0131225586,12464.3759765625,1856.130131225586,1856
OUT,6.125,7.416666666666667,1.291666666666667,58852.71061706543,5574.177734375,588.5271061706543,589
OUT,7.666666666666667,7.791666666666667,0.125,1318.2582292556763,1260.181640625,13.182582292556763,13
IN,6.875,8.875,2.0,205454.7000732422,11294.16015625,2054.547000732422,2055
OUT,8.083333333333334,10.083333333333334,2.0,63150.25531291962,4960.8076171875,631.5025531291961,632
OUT,10.333333333333334,10.875,0.5416666666666661,6640.253322601318,2486.0791015625,66.40253322601319,66
IN,9.125,11.125,2.0,111073.30173110962,7419.4013671875,1110.733017311096,1111
OUT,11.125,13.125,2.0,115949.31216049194,9194.958984375,1159.4931216049195,1159
IN,11.375,13.375,2.0,100874.99584293365,7627.6826171875,1008.7499584293365,1009
OUT,13.375,14.333333333333334,0.9583333333333339,35816.324555397034,9370.779296875,358.16324555397034,358
OUT,14.583333333333334,15.5,0.9166666666666661,27825.78910446167,6291.0634765625,278.2578910446167,278
IN,13.625,15.625,2.0,108839.17700195312,5955.76611328125,1088.3917700195314,1088
OUT,15.75,16.0,0.25,2057.614038467407,530.4551391601562,20.576140384674073,21
OUT,16.25,16.833333333333332,0.5833333333333321,5111.1984132528305,1127.74560546875,51.111984132528306,51
IN,15.875,17.375,1.5,39628.29277610779,3142.64990234375,396.2829277610779,396
IN,17.625,17.666666666666668,0.04166666666666785,195.01351857185364,193.17791748046875,1.9501351857185363,2
OUT,17.083333333333332,17.791666666666668,0.7083333333333357,10425.816509485245,2699.53857421875,104.25816509485244,104
IN,17.916666666666668,18.0,0.08333333333333215,484.2510631084442,465.618408203125,4.842510631084442,5
OUT,18.041666666666668,19.0,0.9583333333333321,13442.97545838356,2406.47265625,134.4297545838356,134
OUT,19.25,19.791666666666668,0.5416666666666679,6761.580242395401,2345.94970703125,67.61580242395401,68
IN,18.25,20.083333333333332,1.8333333333333321,75595.4264831543,5867.013671875,755.954264831543,756
IN,20.333333333333332,21.166666666666668,0.8333333333333357,10070.251591682434,2232.1142578125,100.70251591682434,101
OUT,20.083333333333332,21.291666666666668,1.2083333333333357,63291.18990755081,6049.3544921875,632.9118990755081,633
IN,21.416666666666668,23.416666666666668,2.0,48425.45116519928,3884.134521484375,484.2545116519928,484
OUT,21.541666666666668,23.541666666666668,2.0,90959.94327926636,5655.8427734375,909.5994327926636,910
IN,23.666666666666668,25.666666666666668,2.0,104243.69227218628,7912.76171875,1042.4369227218629,1042
OUT,23.791666666666668,25.75,1.9583333333333321,125322.46142554283,6387.6748046875,1253.2246142554284,1253
