direction,start_sec,end_sec,duration_sec,flux_sum,peak_flux,count_est,count_round
IN,0.041666666666666664,2.0833333333333335,2.041666666666667,74726.33620262146,4255.43310546875,747.2633620262146,747
OUT,0.041666666666666664,2.0833333333333335,2.041666666666667,161982.16708374023,8772.7880859375,1619.8216708374023,1620
OUT,2.3333333333333335,3.2083333333333335,0.875,23523.45874929428,11304.267578125,235.2345874929428,235
IN,2.3333333333333335,3.2916666666666665,0.958333333333333,26042.157556533813,10452.44921875,260.4215755653381,260
OUT,3.4583333333333335,3.5,0.04166666666666652,846.216552734375,846.216552734375,8.46216552734375,8
OUT,3.7916666666666665,3.8333333333333335,0.04166666666666696,32.76408386230469,32.76408386230469,0.3276408386230469,1
OUT,4.125,4.25,0.125,224.65125179290771,110.32763671875,2.246512517929077,2
IN,3.5416666666666665,4.333333333333333,0.7916666666666665,72119.35298252106,7556.1748046875,721.1935298252106,721
OUT,4.541666666666667,4.583333333333333,0.041666666666666075,86.08154296875,86.08154296875,0.8608154296875,1
IN,4.833333333333333,4.875,0.04166666666666696,41.398441314697266,41.398441314697266,0.41398441314697265,1
OUT,5.125,5.166666666666667,0.04166666666666696,48.78797912597656,48.78797912597656,0.4878797912597656,1
OUT,5.541666666666667,5.583333333333333,0.041666666666666075,98.94081115722656,98.94081115722656,0.9894081115722656,1
OUT,5.958333333333333,6.0,0.04166666666666696,81.1650390625,81.1650390625,0.811650390625,1
IN,6.166666666666667,6.291666666666667,0.125,101.78833198547363,45.50886535644531,1.0178833198547363,1
OUT,6.291666666666667,6.375,0.08333333333333304,84.24732398986816,55.43341064453125,0.8424732398986816,1
OUT,6.625,6.666666666666667,0.04166666666666696,66.61056518554688,66.61056518554688,0.6661056518554688,1
IN,6.625,6.708333333333333,0.08333333333333304,112.75946807861328,69.27114868164062,1.1275946807861328,1
IN,6.958333333333333,7.25,0.29166666666666696,2224.1997261047363,835.109619140625,22.241997261047363,22
IN,7.5,7.666666666666667,0.16666666666666696,2889.6652941703796,879.013427734375,28.896652941703795,29
IN,7.958333333333333,8.5,0.541666666666667,10911.063168048859,1540.3643798828125,109.11063168048858,109
OUT,6.916666666666667,8.958333333333334,2.041666666666667,101181.61562347412,9207.9755859375,1011.8161562347412,1012
OUT,9.208333333333334,9.333333333333334,0.125,2302.0020904541016,1455.9951171875,23.020020904541017,23
OUT,9.666666666666666,9.75,0.08333333333333393,226.42750549316406,141.12237548828125,2.2642750549316406,2
IN,8.75,9.958333333333334,1.208333333333334,165161.38321590424,19573.58203125,1651.6138321590424,1652
OUT,10.0,10.125,0.125,1443.3330097198486,1328.71728515625,14.433330097198485,14
OUT,10.541666666666666,10.583333333333334,0.04166666666666785,73.76834869384766,73.76834869384766,0.7376834869384765,1
IN,10.208333333333334,10.833333333333334,0.625,12516.192578315735,1702.6162109375,125.16192578315734,125
OUT,10.833333333333334,10.958333333333334,0.125,624.9555854797363,468.2097473144531,6.2495558547973635,6
OUT,11.208333333333334,11.333333333333334,0.125,419.02198028564453,231.35816955566406,4.190219802856445,4
OUT,11.625,11.666666666666666,0.041666666666666075,428.3103942871094,428.3103942871094,4.283103942871094,4
IN,11.083333333333334,12.083333333333334,1.0,49767.49164390564,8324.30859375,497.6749164390564,498
OUT,11.916666666666666,13.166666666666666,1.25,80641.73003566265,10556.669921875,806.4173003566265,806
OUT,13.458333333333334,13.541666666666666,0.08333333333333215,179.24637413024902,158.31307983398438,1.7924637413024902,2
IN,12.333333333333334,14.333333333333334,2.0,140424.9061279297,5728.13671875,1404.249061279297,1404
OUT,13.833333333333334,15.833333333333334,2.0,32305.123081207275,6731.29931640625,323.05123081207273,323
IN,14.583333333333334,16.625,2.041666666666666,144970.33450698853,9034.701171875,1449.7033450698852,1450
OUT,16.125,17.041666666666668,0.9166666666666679,24215.093600302935,3602.20263671875,242.15093600302936,242
OUT,17.291666666666668,18.791666666666668,1.5,20232.204770326614,2439.9189453125,202.32204770326615,202
IN,16.875,18.875,2.0,255235.1300048828,12683.046875,2552.3513000488283,2552
OUT,19.041666666666668,19.125,0.08333333333333215,145.2334861755371,105.96475982666016,1.452334861755371,1
OUT,19.375,19.625,0.25,3036.4932622238994,1530.9091796875,30.364932622238992,30
OUT,19.875,20.458333333333332,0.5833333333333321,11865.222409784794,2805.8408203125,118.65222409784793,119
OUT,20.708333333333332,20.875,0.16666666666666785,1852.7458953857422,1014.6937255859375,18.527458953857423,19
IN,19.125,21.125,2.0,108570.01935100555,8590.2177734375,1085.7001935100554,1086
OUT,21.166666666666668,21.25,0.08333333333333215,220.91847229003906,145.1400604248047,2.2091847229003907,2
IN,21.375,21.5,0.125,1179.7220180034637,613.2254638671875,11.797220180034637,12
OUT,21.541666666666668,21.625,0.08333333333333215,338.7325897216797,305.6266784667969,3.387325897216797,3
IN,21.833333333333332,22.291666666666668,0.4583333333333357,19489.637533187866,10520.6025390625,194.89637533187866,195
IN,22.541666666666668,22.708333333333332,0.1666666666666643,790.9785766601562,383.83624267578125,7.909785766601562,8
OUT,21.875,22.833333333333332,0.9583333333333321,32643.27407836914,4000.9638671875,326.43274078369143,326
OUT,23.083333333333332,23.291666666666668,0.2083333333333357,4547.722393214703,1836.681884765625,45.47722393214703,45
OUT,23.541666666666668,23.833333333333332,0.2916666666666643,7427.943059921265,3875.805908203125,74.27943059921265,74
OUT,24.375,24.416666666666668,0.04166666666666785,97.10777282714844,97.10777282714844,0.9710777282714844,1
OUT,24.666666666666668,24.916666666666668,0.25,18238.592552661896,8804.6865234375,182.38592552661896,182
IN,22.958333333333332,24.958333333333332,2.0,227084.98364257812,10922.1083984375,2270.849836425781,2271
OUT,25.166666666666668,27.166666666666668,2.0,118826.19239234924,14314.998046875,1188.2619239234925,1188
IN,25.208333333333332,27.208333333333332,2.0,215342.80099868774,10188.546875,2153.4280099868774,2153
OUT,27.416666666666668,27.541666666666668,0.125,620.6516990661621,325.53692626953125,6.206516990661621,6
OUT,27.791666666666668,28.25,0.45833333333333215,5243.344976902008,976.2265625,52.43344976902008,52
OUT,28.541666666666668,29.375,0.8333333333333321,22863.871866226196,5202.07470703125,228.63871866226197,229
IN,27.458333333333332,29.458333333333332,2.0,129669.51020812988,10182.0810546875,1296.6951020812987,1297
OUT,29.625,29.708333333333332,0.08333333333333215,4929.112201690674,3165.71826171875,49.29112201690674,49
IN,29.708333333333332,29.791666666666668,0.0833333333333357,2133.9962854385376,1237.176513671875,21.339962854385377,21
OUT,29.958333333333332,30.0,0.04166666666666785,36.293453216552734,36.293453216552734,0.36293453216552735,1
OUT,30.25,30.291666666666668,0.04166666666666785,605.6054077148438,605.6054077148438,6.0560540771484375,6
OUT,30.583333333333332,30.625,0.04166666666666785,904.1016130447388,901.103515625,9.041016130447387,9
OUT,30.875,31.083333333333332,0.20833333333333215,1865.10400390625,611.0960693359375,18.6510400390625,19
IN,30.041666666666668,31.875,1.8333333333333321,88185.84081411362,7594.16796875,881.8584081411361,882
