direction,start_sec,end_sec,duration_sec,flux_sum,peak_flux,count_est,count_round
OUT,0.041666666666666664,0.08333333333333333,0.041666666666666664,586.218017578125,586.218017578125,5.86218017578125,6
OUT,0.5416666666666666,0.9583333333333334,0.41666666666666674,9815.733100295067,2544.43994140625,98.15733100295067,98
OUT,1.25,1.625,0.375,18961.14170074463,5263.4814453125,189.61141700744628,190
OUT,1.875,1.9583333333333333,0.08333333333333326,329.4970397949219,240.58798217773438,3.2949703979492186,3
IN,0.08333333333333333,2.0833333333333335,2.0,76241.24689674377,7158.71826171875,762.4124689674377,762
OUT,2.25,2.3333333333333335,0.08333333333333348,259.8506851196289,147.00367736816406,2.598506851196289,3
OUT,2.625,2.8333333333333335,0.20833333333333348,1016.9872226715088,515.8338623046875,10.169872226715087,10
IN,2.3333333333333335,3.2916666666666665,0.958333333333333,33169.598801612854,5344.5849609375,331.6959880161285,332
IN,3.5416666666666665,3.7083333333333335,0.16666666666666696,2252.31485748291,1134.7138671875,22.5231485748291,23
OUT,3.0833333333333335,3.875,0.7916666666666665,42072.07028388977,6468.3486328125,420.7207028388977,421
IN,3.9583333333333335,4.375,0.4166666666666665,19666.251892089844,6356.5908203125,196.66251892089844,197
IN,4.625,4.75,0.125,8287.416748046875,3701.108642578125,82.87416748046876,83
OUT,4.25,5.083333333333333,0.833333333333333,19571.169403791428,2814.616943359375,195.71169403791427,196
IN,5.0,5.5,0.5,34034.44973754883,10298.400390625,340.3444973754883,340
OUT,5.375,5.708333333333333,0.33333333333333304,2687.025072336197,845.8643798828125,26.87025072336197,27
IN,5.75,6.166666666666667,0.41666666666666696,2039.5688314437866,739.86962890625,20.395688314437866,20
OUT,6.0,6.208333333333333,0.20833333333333304,1138.0880584716797,462.318359375,11.380880584716797,11
IN,6.458333333333333,6.583333333333333,0.125,610.7653369903564,339.9939270019531,6.107653369903565,6
OUT,6.5,6.833333333333333,0.33333333333333304,833.8641414642334,227.43756103515625,8.338641414642334,8
IN,6.833333333333333,6.916666666666667,0.08333333333333393,140.0201873779297,76.66667175292969,1.400201873779297,1
IN,7.166666666666667,7.291666666666667,0.125,674.1139297485352,464.9512023925781,6.7411392974853515,7
OUT,7.125,7.333333333333333,0.20833333333333304,1126.4609870910645,638.22509765625,11.264609870910645,11
IN,7.541666666666667,7.583333333333333,0.041666666666666075,50.34841251373291,48.14558410644531,0.5034841251373291,1
OUT,7.583333333333333,7.875,0.29166666666666696,783.1906452178955,362.5177917480469,7.831906452178955,8
IN,7.875,7.958333333333333,0.08333333333333304,416.5826271176338,286.54705810546875,4.165826271176338,4
OUT,8.166666666666666,8.208333333333334,0.04166666666666785,134.26742553710938,134.26742553710938,1.3426742553710938,1
IN,8.208333333333334,8.333333333333334,0.125,500.269850730896,382.0102844238281,5.00269850730896,5
OUT,8.458333333333334,8.541666666666666,0.08333333333333215,145.11504745483398,108.33734130859375,1.45115047454834,1
IN,8.708333333333334,8.791666666666666,0.08333333333333215,228.56562042236328,184.2250518798828,2.285656204223633,2
OUT,8.791666666666666,8.833333333333334,0.04166666666666785,42.46331787109375,42.46331787109375,0.4246331787109375,1
OUT,9.083333333333334,9.125,0.041666666666666075,43.1517219543457,43.1517219543457,0.431517219543457,1
OUT,9.416666666666666,9.458333333333334,0.04166666666666785,56.99326282739639,56.781646728515625,0.569932628273964,1
OUT,9.708333333333334,9.75,0.041666666666666075,104.65303608775139,104.34104919433594,1.0465303608775138,1
OUT,10.0,10.083333333333334,0.08333333333333393,115.28765678405762,85.76994323730469,1.1528765678405761,1
IN,9.083333333333334,10.333333333333334,1.25,16714.780847370625,3093.73974609375,167.14780847370625,167
OUT,10.333333333333334,10.416666666666666,0.08333333333333215,246.05886459350586,234.033203125,2.4605886459350588,2
IN,10.583333333333334,10.625,0.041666666666666075,115.26018190383911,110.76306915283203,1.152601819038391,1
OUT,10.75,10.791666666666666,0.041666666666666075,150.42382514476776,149.54122924804688,1.5042382514476775,2
IN,10.875,11.125,0.25,839.4639663696289,286.2923583984375,8.394639663696289,8
OUT,11.041666666666666,11.166666666666666,0.125,308.4047050476074,227.08470153808594,3.0840470504760744,3
IN,11.375,11.541666666666666,0.16666666666666607,1161.3482666015625,542.08642578125,11.613482666015624,12
IN,11.791666666666666,13.0,1.208333333333334,26266.178213119507,5671.2060546875,262.6617821311951,263
OUT,11.416666666666666,13.166666666666666,1.75,81099.76810216904,6969.46533203125,810.9976810216904,811
IN,13.25,13.291666666666666,0.041666666666666075,38.92735004425049,34.80926513671875,0.38927350044250486,1
OUT,13.416666666666666,13.458333333333334,0.04166666666666785,51.01075506210327,43.47032928466797,0.5101075506210327,1
IN,13.666666666666666,13.833333333333334,0.16666666666666785,449.5127182006836,152.5041961669922,4.495127182006836,4
OUT,13.791666666666666,13.875,0.08333333333333393,111.82915306091309,60.58895492553711,1.1182915306091308,1
IN,14.166666666666666,14.291666666666666,0.125,237.15018463134766,116.51242065429688,2.3715018463134765,2
IN,14.666666666666666,14.75,0.08333333333333393,97.29585790634155,54.16151428222656,0.9729585790634155,1
IN,15.0,15.041666666666666,0.041666666666666075,201.64804077148438,201.64804077148438,2.0164804077148437,2
OUT,14.125,15.125,1.0,92535.22045516968,9363.9326171875,925.3522045516968,925
IN,15.333333333333334,15.541666666666666,0.20833333333333215,1529.9942922592163,820.6201782226562,15.299942922592162,15
OUT,15.375,15.958333333333334,0.5833333333333339,34170.56056213379,4651.62939453125,341.7056056213379,342
IN,15.958333333333334,16.041666666666668,0.08333333333333393,778.9285688400269,611.2830810546875,7.789285688400269,8
IN,16.291666666666668,16.333333333333332,0.0416666666666643,57.901137351989746,50.127952575683594,0.5790113735198975,1
OUT,16.291666666666668,16.416666666666668,0.125,328.50841188430786,162.945068359375,3.285084118843079,3
IN,16.583333333333332,16.916666666666668,0.3333333333333357,6172.034312963486,3283.2021484375,61.720343129634855,62
OUT,16.666666666666668,16.916666666666668,0.25,9159.233150482178,4115.8486328125,91.59233150482177,92
OUT,17.166666666666668,17.208333333333332,0.0416666666666643,51.79150867462158,50.69158935546875,0.5179150867462158,1
IN,17.166666666666668,17.291666666666668,0.125,1173.9934072494507,554.6937255859375,11.739934072494506,12
OUT,17.458333333333332,17.625,0.16666666666666785,1604.0918884277344,630.88330078125,16.040918884277342,16
IN,17.625,17.666666666666668,0.04166666666666785,140.61453819274902,136.31692504882812,1.4061453819274903,1
IN,17.958333333333332,18.0,0.04166666666666785,121.19770812988281,121.19770812988281,1.2119770812988282,1
OUT,18.333333333333332,18.375,0.04166666666666785,103.67204284667969,103.67204284667969,1.0367204284667968,1
OUT,18.833333333333332,19.166666666666668,0.3333333333333357,4823.1202157735825,2601.408447265625,48.23120215773582,48
IN,18.416666666666668,19.458333333333332,1.0416666666666643,53235.28323507309,7727.765625,532.3528323507309,532
IN,19.708333333333332,19.75,0.04166666666666785,339.89555728435516,338.3982849121094,3.3989555728435517,3
OUT,19.416666666666668,19.833333333333332,0.4166666666666643,30965.94793701172,10548.0546875,309.6594793701172,310
OUT,20.083333333333332,20.333333333333332,0.25,1959.2321977615356,1061.625,19.592321977615356,20
IN,20.0,20.708333333333332,0.7083333333333321,52655.404388427734,6224.41796875,526.5540438842773,527
OUT,20.583333333333332,20.75,0.16666666666666785,669.8544301986694,392.2415771484375,6.698544301986694,7
IN,21.291666666666668,21.416666666666668,0.125,185.92970657348633,95.35736083984375,1.8592970657348633,2
OUT,21.458333333333332,21.5,0.04166666666666785,106.15768432617188,106.15768432617188,1.0615768432617188,1
IN,21.666666666666668,21.708333333333332,0.0416666666666643,73.26862335205078,73.26862335205078,0.7326862335205078,1
IN,21.958333333333332,22.041666666666668,0.0833333333333357,56.909494400024414,40.7698860168457,0.5690949440002442,1
OUT,22.0,22.083333333333332,0.08333333333333215,60.967885971069336,41.42621612548828,0.6096788597106934,1
OUT,22.375,22.416666666666668,0.04166666666666785,180.3318634033203,180.3318634033203,1.803318634033203,2
IN,22.5,22.625,0.125,163.7301697731018,98.91828155517578,1.637301697731018,2
OUT,22.833333333333332,22.875,0.04166666666666785,36.240638732910156,36.240638732910156,0.3624063873291016,1
IN,22.958333333333332,23.0,0.04166666666666785,44.27904510498047,44.27904510498047,0.4427904510498047,1
IN,23.416666666666668,23.458333333333332,0.0416666666666643,750.997802734375,750.997802734375,7.50997802734375,8
OUT,23.25,23.833333333333332,0.5833333333333321,34120.34311580658,15093.150390625,341.20343115806577,341
IN,23.958333333333332,24.041666666666668,0.0833333333333357,75.48755073547363,50.07703399658203,0.7548755073547363,1
OUT,24.083333333333332,24.291666666666668,0.2083333333333357,245.51287269592285,97.266357421875,2.4551287269592286,2
IN,24.291666666666668,24.333333333333332,0.0416666666666643,82.24473571777344,82.24473571777344,0.8224473571777344,1
OUT,24.541666666666668,25.083333333333332,0.5416666666666643,4023.348599433899,895.153564453125,40.23348599433899,40
IN,24.583333333333332,25.666666666666668,1.0833333333333357,70186.40801239014,7701.2734375,701.8640801239013,702
OUT,25.333333333333332,26.125,0.7916666666666679,61097.59049987793,10642.2099609375,610.9759049987792,611
OUT,26.541666666666668,26.666666666666668,0.125,61.938260078430176,33.44642639160156,0.6193826007843017,1
OUT,26.916666666666668,27.0,0.08333333333333215,167.12137746810913,134.00064086914062,1.6712137746810913,2
IN,26.125,27.041666666666668,0.9166666666666679,71732.88984298706,9329.244140625,717.3288984298706,717
IN,27.333333333333332,27.375,0.04166666666666785,45.69816970825195,45.69816970825195,0.4569816970825195,1
OUT,28.125,28.208333333333332,0.08333333333333215,41.16921138763428,32.48036575317383,0.41169211387634275,1
OUT,28.5,28.583333333333332,0.08333333333333215,86.41550159454346,42.53398132324219,0.8641550159454345,1
OUT,28.833333333333332,28.916666666666668,0.0833333333333357,479.45094299316406,390.79510498046875,4.79450942993164,5
OUT,29.166666666666668,29.458333333333332,0.2916666666666643,1950.1014322936535,407.6746520996094,19.501014322936534,20
IN,27.791666666666668,29.541666666666668,1.75,18208.150510907173,1176.2080078125,182.08150510907174,182
OUT,29.708333333333332,30.375,0.6666666666666679,7471.95832824707,1583.09033203125,74.71958328247071,75
