target,feature,n,covariance,abs_covariance,feature_mean,target_mean,feature_std,target_std
in_abs_error,raw_traffic_flux_max,3822,62483.20962887116,62483.20962887116,13660.868008302197,13.177836206782956,16502.16790700974,17.78367190477826
in_abs_error,filtered_traffic_flux_max,3822,60896.82364115428,60896.82364115428,10552.201478029985,13.177836206782956,13501.445313674894,17.78367190477826
in_abs_error,raw_out_flux_max,3822,51184.910581623364,51184.910581623364,10617.414108603647,13.177836206782956,12936.305211201028,17.78367190477826
in_abs_error,filtered_out_flux_max,3822,49487.47513005688,49487.47513005688,8374.213174540731,13.177836206782956,10788.903703754271,17.78367190477826
in_abs_error,raw_in_flux_max,3822,45284.580755556075,45284.580755556075,10624.1860654945,13.177836206782956,12986.869353694006,17.78367190477826
in_abs_error,filtered_in_flux_max,3822,44366.28677260227,44366.28677260227,8120.164617406454,13.177836206782956,10362.046731242683,17.78367190477826
in_abs_error,raw_traffic_flux_p90,3822,40305.9505233477,40305.9505233477,4471.855070285739,13.177836206782956,6634.11113081349,17.78367190477826
in_abs_error,top_raw_out_flux_max,3822,36063.491912663914,36063.491912663914,7640.970952627579,13.177836206782956,9234.678078532674,17.78367190477826
in_abs_error,filtered_traffic_flux_p90,3822,35735.7799332741,35735.7799332741,3566.2022820065877,13.177836206782956,5702.902155255286,17.78367190477826
in_abs_error,top_filtered_out_flux_max,3822,35442.62855322224,35442.62855322224,6166.617144759197,13.177836206782956,7920.16235133668,17.78367190477826
in_abs_error,top_raw_in_flux_max,3822,32236.0409447272,32236.0409447272,7605.343719745371,13.177836206782956,9333.404400644422,17.78367190477826
in_abs_error,top_filtered_in_flux_max,3822,31161.413489844097,31161.413489844097,5982.737721345176,13.177836206782956,7652.729152945169,17.78367190477826
in_abs_error,right_raw_out_flux_max,3822,27632.042421496095,27632.042421496095,6661.24673813569,13.177836206782956,9156.774023379281,17.78367190477826
in_abs_error,left_raw_out_flux_max,3822,27389.41643532055,27389.41643532055,5010.152192357851,13.177836206782956,6744.7331457677865,17.78367190477826
in_abs_error,right_filtered_in_flux_max,3822,26744.214862601515,26744.214862601515,5152.549534138181,13.177836206782956,7279.7093559590685,17.78367190477826
in_abs_error,right_filtered_out_flux_max,3822,26563.571996059472,26563.571996059472,5193.87136218103,13.177836206782956,7370.400487776054,17.78367190477826
in_abs_error,right_raw_in_flux_max,3822,26522.759660142623,26522.759660142623,6830.110571856667,13.177836206782956,9243.10043862537,17.78367190477826
in_abs_error,raw_out_flux_p90,3822,25322.297656809507,25322.297656809507,2623.243804239287,13.177836206782956,4071.140804854208,17.78367190477826
in_abs_error,left_raw_in_flux_max,3822,24943.448456337483,24943.448456337483,5349.954321268932,13.177836206782956,7132.5116481504365,17.78367190477826
in_abs_error,raw_in_flux_p90,3822,24851.54575121552,24851.54575121552,2619.6268984517433,13.177836206782956,3991.662869367871,17.78367190477826
in_abs_error,left_filtered_out_flux_max,3822,24782.23170974835,24782.23170974835,3741.0057213758687,13.177836206782956,5283.724484582953,17.78367190477826
in_abs_error,raw_traffic_flux_mean,3822,24751.464994644644,24751.464994644644,2254.362968280747,13.177836206782956,3736.621069706916,17.78367190477826
in_abs_error,left_filtered_in_flux_max,3822,24227.60729622665,24227.60729622665,4095.3747901729985,13.177836206782956,5691.757275317033,17.78367190477826
in_abs_error,bottom_raw_out_flux_max,3822,24081.589513349867,24081.589513349867,3737.4053080305575,13.177836206782956,5124.211878005703,17.78367190477826
in_abs_error,raw_traffic_flux_p50,3822,23650.517322436368,23650.517322436368,1812.5045036841273,13.177836206782956,3445.7584765134015,17.78367190477826
in_abs_error,bottom_raw_in_flux_max,3822,23650.476411371183,23650.476411371183,3645.434965711966,13.177836206782956,5033.172405691877,17.78367190477826
in_abs_error,filtered_out_flux_p90,3822,22345.216872982648,22345.216872982648,2079.3726022679043,13.177836206782956,3496.4662032858223,17.78367190477826
in_abs_error,filtered_in_flux_p90,3822,22028.375335773562,22028.375335773562,2119.4291126614153,13.177836206782956,3462.897219256308,17.78367190477826
in_abs_error,bottom_filtered_in_flux_max,3822,21701.084724310695,21701.084724310695,2871.806217700929,13.177836206782956,4271.1307421429265,17.78367190477826
in_abs_error,bottom_filtered_out_flux_max,3822,21526.194396078714,21526.194396078714,2994.166378295403,13.177836206782956,4405.603909194716,17.78367190477826
in_abs_error,filtered_traffic_flux_mean,3822,21250.473644986545,21250.473644986545,1760.4276035148548,13.177836206782956,3183.8705639064556,17.78367190477826
in_abs_error,filtered_traffic_flux_p50,3822,19953.47232637431,19953.47232637431,1402.5700677552816,13.177836206782956,2940.1098028787924,17.78367190477826
in_abs_error,raw_candidate_pixels_max,3822,15691.517199386499,15691.517199386499,2727.930664573522,13.177836206782956,2756.555163646114,17.78367190477826
in_abs_error,raw_candidate_component_area_sum_max,3822,15691.517199386499,15691.517199386499,2727.930664573522,13.177836206782956,2756.555163646114,17.78367190477826
in_abs_error,persistent_candidate_pixels_max,3822,14879.157734078499,14879.157734078499,2248.90737833595,13.177836206782956,2545.9164646890013,17.78367190477826
in_abs_error,filtered_candidate_pixels_max,3822,14631.792294296623,14631.792294296623,2190.6057038199897,13.177836206782956,2506.673455980341,17.78367190477826
in_abs_error,filtered_candidate_component_area_sum_max,3822,14631.792294296623,14631.792294296623,2190.6057038199897,13.177836206782956,2506.673455980341,17.78367190477826
