target,feature,n,normalization,covariance,abs_covariance,feature_mean,target_mean,feature_std,target_std,feature_original_mean,target_original_mean,feature_original_std,target_original_std
in_abs_error,frame_diff_mean_min,3822,zscore,0.4578037364671943,0.4578037364671943,3.718172348299844e-17,5.949075757279751e-17,1.0,1.0,0.5342781624248116,13.177836206782956,0.682595563869057,17.78367190477826
in_abs_error,frame_diff_mean_p10,3822,zscore,0.45770633598028543,0.45770633598028543,4.0899895831298285e-17,5.949075757279751e-17,1.0,1.0,1.0180885386198943,13.177836206782956,1.234350191666376,17.78367190477826
in_abs_error,roi_flow_active_ratio_p10,3822,zscore,0.43929168168040705,0.43929168168040705,1.4872689393199377e-17,5.949075757279751e-17,1.0,1.0,0.04287716503927229,13.177836206782956,0.0905353766960931,17.78367190477826
in_abs_error,frame_diff_p90_min,3822,zscore,0.43704182592762875,0.43704182592762875,-7.436344696599688e-18,5.949075757279751e-17,1.0,1.0,1.434065934065934,13.177836206782956,1.7349106152980047,17.78367190477826
in_abs_error,frame_diff_p90_p10,3822,zscore,0.43581115530706915,0.43581115530706915,1.859086174149922e-16,5.949075757279751e-17,1.0,1.0,2.657200418628993,13.177836206782956,3.3181981487436714,17.78367190477826
in_abs_error,frame_diff_mean_p50,3822,zscore,0.4341140714611872,0.4341140714611872,1.1154517044899533e-17,5.949075757279751e-17,1.0,1.0,1.6351228113277456,13.177836206782956,1.9183684799267102,17.78367190477826
in_abs_error,frame_diff_mean_mean,3822,zscore,0.4304180250489964,0.4304180250489964,-1.1154517044899533e-17,5.949075757279751e-17,0.9999999999999999,1.0,1.7797386666013753,13.177836206782956,2.0013581371691007,17.78367190477826
in_abs_error,roi_flow_active_ratio_p50,3822,zscore,0.4300351967569368,0.4300351967569368,2.9745378786398754e-17,5.949075757279751e-17,0.9999999999999999,1.0,0.07911149560058019,13.177836206782956,0.13206042345404517,17.78367190477826
in_abs_error,roi_flow_mag_mean_p10,3822,zscore,0.42892035560626224,0.42892035560626224,-6.692710226939719e-17,5.949075757279751e-17,1.0,1.0,0.20254489686178487,13.177836206782956,0.2982654995993568,17.78367190477826
in_abs_error,persistence_mean_p10,3822,zscore,0.42699096271812526,0.42699096271812526,-3.3463551134698593e-17,5.949075757279751e-17,0.9999999999999999,1.0,0.012370345593571306,13.177836206782956,0.026432618767698025,17.78367190477826
in_abs_error,frame_diff_changed_ratio_10_mean,3822,zscore,0.4263052189017691,0.4263052189017691,-5.2054412876197816e-17,5.949075757279751e-17,1.0,1.0,0.034749735653178605,13.177836206782956,0.05878196197213675,17.78367190477826
in_abs_error,roi_flow_active_ratio_mean,3822,zscore,0.42629190469031686,0.42629190469031686,-3.718172348299844e-17,5.949075757279751e-17,1.0,1.0,0.08295862718698149,13.177836206782956,0.13123408396767264,17.78367190477826
in_abs_error,frame_diff_changed_ratio_10_p10,3822,zscore,0.42300412739921384,0.42300412739921384,-7.436344696599688e-18,5.949075757279751e-17,1.0,1.0,0.015517886060162588,13.177836206782956,0.03634419657612537,17.78367190477826
in_abs_error,frame_diff_changed_ratio_10_p50,3822,zscore,0.42144197261170285,0.42144197261170285,1.1154517044899533e-17,5.949075757279751e-17,1.0,1.0,0.03141214170505993,13.177836206782956,0.05766990156006815,17.78367190477826
in_abs_error,frame_diff_changed_ratio_10_max,3822,zscore,0.4195448136796157,0.4195448136796157,-1.859086174149922e-16,5.949075757279751e-17,0.9999999999999999,1.0,0.131306523109603,13.177836206782956,0.14573984637793452,17.78367190477826
in_abs_error,raw_candidate_component_count_p10,3822,zscore,0.41950557175283043,0.41950557175283043,1.4872689393199377e-17,5.949075757279751e-17,0.9999999999999999,1.0,0.755075876504448,13.177836206782956,1.5348073957181967,17.78367190477826
in_abs_error,raw_candidate_component_count_p50,3822,zscore,0.4189824441638088,0.4189824441638088,-5.577258522449766e-17,5.949075757279751e-17,0.9999999999999999,1.0,1.8088697017268447,13.177836206782956,2.7756384647446004,17.78367190477826
in_abs_error,raw_candidate_ratio_band_p10,3822,zscore,0.4167094806784829,0.4167094806784829,-1.859086174149922e-17,5.949075757279751e-17,1.0,1.0,0.03117612019045486,13.177836206782956,0.0763901221897659,17.78367190477826
in_abs_error,frame_diff_changed_ratio_10_p90,3822,zscore,0.4166793440315051,0.4166793440315051,-7.436344696599688e-18,5.949075757279751e-17,1.0,1.0,0.058075243167282874,13.177836206782956,0.08549869318494718,17.78367190477826
in_abs_error,raw_candidate_component_area_ratio_p10,3822,zscore,0.4155053888305225,0.4155053888305225,-1.1154517044899533e-17,5.949075757279751e-17,0.9999999999999999,1.0,0.0032335741506877317,13.177836206782956,0.007924819667294636,17.78367190477826
in_abs_error,band_flow_mag_mean_p10,3822,zscore,0.41475114125856466,0.41475114125856466,5.577258522449766e-17,5.949075757279751e-17,1.0,1.0,0.17892363907742717,13.177836206782956,0.2821542184233482,17.78367190477826
in_abs_error,raw_candidate_component_count_mean,3822,zscore,0.4140752494116967,0.4140752494116967,7.62225331401468e-17,5.949075757279751e-17,1.0,1.0,2.0360603513803524,13.177836206782956,2.813623154135067,17.78367190477826
in_abs_error,band_normal_abs_mean_p10,3822,zscore,0.4138497871092216,0.4138497871092216,2.9745378786398754e-17,5.949075757279751e-17,1.0,1.0,0.11375432694564601,13.177836206782956,0.18297651685886163,17.78367190477826
in_abs_error,left_raw_candidate_pixels_mean,3822,zscore,0.413845285820291,0.413845285820291,-4.833624052789797e-17,5.949075757279751e-17,1.0,1.0,140.8065917083413,13.177836206782956,243.41398667405898,17.78367190477826
in_abs_error,roi_flow_mag_p99_min,3822,zscore,0.4134395006788274,0.4134395006788274,5.949075757279751e-17,5.949075757279751e-17,1.0,1.0,0.5937101617462621,13.177836206782956,0.9083388609451457,17.78367190477826
in_abs_error,raw_candidate_ratio_band_p50,3822,zscore,0.41290681270576585,0.41290681270576585,6.692710226939719e-17,5.949075757279751e-17,1.0,1.0,0.07887628765538172,13.177836206782956,0.13641459059176192,17.78367190477826
in_abs_error,frame_diff_p90_p50,3822,zscore,0.41254032471879376,0.41254032471879376,-8.551796401089641e-17,5.949075757279751e-17,1.0,1.0,4.27933019361591,13.177836206782956,5.435213514914355,17.78367190477826
in_abs_error,persistence_mean_p50,3822,zscore,0.41139733689622454,0.41139733689622454,-4.0899895831298285e-17,5.949075757279751e-17,0.9999999999999999,1.0,0.02420574881343557,13.177836206782956,0.0407162848532633,17.78367190477826
in_abs_error,raw_candidate_component_area_ratio_p50,3822,zscore,0.410869455199197,0.410869455199197,-7.436344696599688e-18,5.949075757279751e-17,1.0,1.0,0.008195387781196694,13.177836206782956,0.014279866965991086,17.78367190477826
in_abs_error,raw_component_count_p50,3822,zscore,0.4100236635025636,0.4100236635025636,-6.785664535647215e-17,5.949075757279751e-17,0.9999999999999998,1.0,1.8584510727367871,13.177836206782956,3.0760415168417943,17.78367190477826
in_abs_error,raw_candidate_ratio_band_mean,3822,zscore,0.41001967556793184,0.41001967556793184,4.0899895831298285e-17,5.949075757279751e-17,1.0000000000000002,1.0,0.08622301258252632,13.177836206782956,0.13513857031502516,17.78367190477826
in_abs_error,raw_component_count_mean,3822,zscore,0.40945173063854673,0.40945173063854673,7.436344696599688e-17,5.949075757279751e-17,0.9999999999999999,1.0,2.1020305813404656,13.177836206782956,3.149201504763259,17.78367190477826
in_abs_error,raw_candidate_pixels_p10,3822,zscore,0.40877651909216145,0.40877651909216145,-2.2309034089799065e-17,5.949075757279751e-17,1.0,1.0,302.46266352694926,13.177836206782956,748.6989350969844,17.78367190477826
