case,feature,n,pearson_r,pearson_abs_r,spearman_r,spearman_abs_r
total_low_flow_under,entrance_gray_dynamic_range_p90,259,-0.05954320309430133,0.05954320309430133,0.005295472382080725,0.005295472382080725
total_low_flow_under,roi_gray_mean_min,259,0.059333357697075574,0.059333357697075574,0.14576217686504694,0.14576217686504694
total_low_flow_under,background_gray_std_min,259,0.05921525503475313,0.05921525503475313,0.06431761968287203,0.06431761968287203
total_low_flow_under,filtered_candidate_component_count_std,259,-0.058925316157318226,0.058925316157318226,-0.048981011683261556,0.048981011683261556
total_low_flow_under,valid_component_count_std,259,-0.058925316157318226,0.058925316157318226,-0.048981011683261556,0.048981011683261556
total_low_flow_under,entrance_gray_entropy_p90,259,-0.057940238589324664,0.057940238589324664,-0.020650542510199345,0.020650542510199345
total_low_flow_under,right_raw_out_flux_max,259,-0.05793450532316306,0.05793450532316306,-0.0756264173861518,0.0756264173861518
total_low_flow_under,filtered_candidate_component_area_p90_min,191,-0.057856115435196954,0.057856115435196954,-0.1822144051783892,0.1822144051783892
total_low_flow_under,filtered_candidate_component_area_mean_min,191,-0.05785216744672116,0.05785216744672116,-0.18259214992218006,0.18259214992218006
total_low_flow_under,filtered_candidate_component_area_p50_min,191,-0.05785216744672116,0.05785216744672116,-0.18259214992218006,0.18259214992218006
total_low_flow_under,entrance_gray_p50_std,259,0.05723896969052082,0.05723896969052082,0.3289481954438833,0.3289481954438833
total_low_flow_under,background_saturated_ratio_mean,259,-0.05469366081515259,0.05469366081515259,-0.15236220469957507,0.15236220469957507
total_low_flow_under,roi_flow_mag_p90_p50,259,0.054437014489247315,0.054437014489247315,-0.04190855549125695,0.04190855549125695
total_low_flow_under,roi_saturated_ratio_p50,259,-0.05347507513177267,0.05347507513177267,-0.12217708435062444,0.12217708435062444
total_low_flow_under,out_flux_share_p10,191,-0.05345445695356783,0.05345445695356783,-0.028965496145802457,0.028965496145802457
total_low_flow_under,in_flux_share_p90,191,0.05345445695356742,0.05345445695356742,0.028965496145802457,0.028965496145802457
total_low_flow_under,left_raw_in_flux_max,259,0.053381741969157154,0.053381741969157154,-0.02445174678863718,0.02445174678863718
total_low_flow_under,band_flow_mag_p90_max,259,-0.0517023622922672,0.0517023622922672,-0.10409225815341652,0.10409225815341652
total_low_flow_under,entrance_value_mean_mean,259,0.051559655475421406,0.051559655475421406,0.08006522968893565,0.08006522968893565
total_low_flow_under,top_raw_in_flux_max,259,0.05106740272744587,0.05106740272744587,0.0019328492988914838,0.0019328492988914838
total_low_flow_under,bottom_filtered_in_flux_std,259,0.05088984660406235,0.05088984660406235,-0.07457807179890594,0.07457807179890594
