case,flow_col,target_col,actual_col,eligible_actual_positive_n,low_flow_q25,low_flow_under_n,median_under_error,mean_under_error,p90_under_error,max_under_error,median_flow,max_flow
in_low_flow_under,total_filtered_in_flux,in_under_error,in,2455,29913.878746032715,279,14.93737654687376,23.80094898195614,58.51463835734073,144.03971373416528,1473.8777770996094,29542.40637779236
out_low_flow_under,total_filtered_out_flux,out_under_error,out,2442,27490.542106628418,267,13.71114515294985,26.17129147260025,81.69020700125732,163.37780242722414,1676.308074951172,27203.63663482666
total_low_flow_under,total_filtered_traffic_flux,total_under_error,total_actual,2522,46334.57452249527,259,28.8682957435976,49.80555698650929,132.35457792682496,266.79728990858945,3045.903869628906,45359.71880531311
