target,feature,n,pearson_r,pearson_abs_r,spearman_r,spearman_abs_r
in_abs_error,frame_diff_mean_min,3822,0.4578037364671934,0.4578037364671934,0.3378567975887948,0.3378567975887948
in_abs_error,frame_diff_mean_p10,3822,0.4577063359802865,0.4577063359802865,0.38764412512694124,0.38764412512694124
in_abs_error,roi_flow_active_ratio_p10,3822,0.43929168168040733,0.43929168168040733,0.4158681068412731,0.4158681068412731
in_abs_error,frame_diff_p90_min,3822,0.4370418259276308,0.4370418259276308,0.32596702281939915,0.32596702281939915
in_abs_error,frame_diff_p90_p10,3822,0.43581115530706904,0.43581115530706904,0.386366778960719,0.386366778960719
in_abs_error,frame_diff_mean_p50,3822,0.43411407146118725,0.43411407146118725,0.402802253807231,0.402802253807231
in_abs_error,frame_diff_mean_mean,3822,0.43041802504899584,0.43041802504899584,0.38363499591679157,0.38363499591679157
in_abs_error,roi_flow_active_ratio_p50,3822,0.43003519675693774,0.43003519675693774,0.3973459002738353,0.3973459002738353
in_abs_error,roi_flow_mag_mean_p10,3822,0.428920355606262,0.428920355606262,0.30912147952589564,0.30912147952589564
in_abs_error,persistence_mean_p10,3822,0.4269909627181234,0.4269909627181234,0.3751324063800018,0.3751324063800018
in_abs_error,frame_diff_changed_ratio_10_mean,3822,0.426305218901769,0.426305218901769,0.3378638930249643,0.3378638930249643
in_abs_error,roi_flow_active_ratio_mean,3822,0.4262919046903169,0.4262919046903169,0.3193428126358591,0.3193428126358591
in_abs_error,frame_diff_changed_ratio_10_p10,3822,0.42300412739921583,0.42300412739921583,0.4265998334986943,0.4265998334986943
in_abs_error,frame_diff_changed_ratio_10_p50,3822,0.42144197261170174,0.42144197261170174,0.4229180139968731,0.4229180139968731
in_abs_error,frame_diff_changed_ratio_10_max,3822,0.4195448136796148,0.4195448136796148,0.3016580001486818,0.3016580001486818
in_abs_error,raw_candidate_component_count_p10,3822,0.41950557175283065,0.41950557175283065,0.3945507061180865,0.3945507061180865
in_abs_error,raw_candidate_component_count_p50,3822,0.41898244416380953,0.41898244416380953,0.4120107184412418,0.4120107184412418
in_abs_error,raw_candidate_ratio_band_p10,3822,0.4167094806784839,0.4167094806784839,0.3955015373078978,0.3955015373078978
in_abs_error,frame_diff_changed_ratio_10_p90,3822,0.41667934403150486,0.41667934403150486,0.345904304680866,0.345904304680866
in_abs_error,raw_candidate_component_area_ratio_p10,3822,0.4155053888305238,0.4155053888305238,0.3962516977542058,0.3962516977542058
in_abs_error,band_flow_mag_mean_p10,3822,0.4147511412585645,0.4147511412585645,0.2848012785503648,0.2848012785503648
in_abs_error,raw_candidate_component_count_mean,3822,0.41407524941169627,0.41407524941169627,0.3330486934210987,0.3330486934210987
in_abs_error,band_normal_abs_mean_p10,3822,0.41384978710922,0.41384978710922,0.2883210594787826,0.2883210594787826
in_abs_error,left_raw_candidate_pixels_mean,3822,0.41384528582029134,0.41384528582029134,0.3305915639294854,0.3305915639294854
in_abs_error,roi_flow_mag_p99_min,3822,0.4134395006788278,0.4134395006788278,0.30505626387095647,0.30505626387095647
in_abs_error,raw_candidate_ratio_band_p50,3822,0.41290681270576585,0.41290681270576585,0.4118726276844404,0.4118726276844404
in_abs_error,frame_diff_p90_p50,3822,0.41254032471879437,0.41254032471879437,0.4122531046508484,0.4122531046508484
in_abs_error,persistence_mean_p50,3822,0.4113973368962255,0.4113973368962255,0.3539281682511913,0.3539281682511913
in_abs_error,raw_candidate_component_area_ratio_p50,3822,0.4108694551991965,0.4108694551991965,0.41269024371657226,0.41269024371657226
