target,n,selected_feature_count,alpha,folds,best_single_feature,best_single_r,best_single_abs_r,cv_r,cv_abs_r,fitted_r,fitted_abs_r,cv_rmse,cv_mae,selected_features
sum_abs_error,3822,20,10.0,5,frame_diff_mean_p10,0.48219237053478453,0.48219237053478453,0.5614330052449698,0.5614330052449698,0.5808531095334379,0.5808531095334379,28.623636882808828,15.549458025916616,frame_diff_mean_p10|frame_diff_mean_min|entrance_gray_p95_std|frame_diff_changed_ratio_10_min|roi_flow_mag_mean_min|persistence_mean_min|persistence_max_min|background_value_mean_std|left_raw_out_flux_p50|bottom_raw_in_flux_p50|rejected_component_count_p10|left_raw_in_flux_p50|band_flow_mag_p90_min|roi_gray_p95_std|background_gray_mean_std|background_gray_std_std|frame_diff_changed_ratio_25_min|left_filtered_out_flux_p50|top_raw_out_flux_p10|bottom_raw_candidate_pixels_p10
total_abs_error,3822,20,10.0,5,frame_diff_mean_p10,0.4616187206229322,0.4616187206229322,0.5436216297816379,0.5436216297816379,0.5651161813728848,0.5651161813728848,29.17322534288164,16.017890951218657,frame_diff_mean_p10|frame_diff_mean_min|entrance_gray_p95_std|frame_diff_changed_ratio_10_min|roi_flow_mag_mean_min|persistence_mean_min|persistence_max_min|left_raw_out_flux_p50|background_value_mean_std|bottom_raw_in_flux_p50|left_raw_in_flux_p50|rejected_component_count_p10|roi_gray_p95_std|band_flow_mag_p90_min|left_filtered_out_flux_p50|top_raw_out_flux_p10|bottom_raw_candidate_pixels_p10|background_gray_std_std|frame_diff_changed_ratio_25_min|background_gray_mean_std
in_abs_error,3822,20,10.0,5,frame_diff_mean_min,0.4578037364671934,0.4578037364671934,0.5315468799053452,0.5315468799053452,0.5595047321976037,0.5595047321976037,15.064954050934677,8.161090676417759,frame_diff_mean_min|frame_diff_mean_p10|entrance_gray_p95_std|frame_diff_changed_ratio_10_min|roi_flow_mag_mean_min|persistence_mean_min|persistence_max_min|background_value_mean_std|roi_gray_p95_std|left_raw_out_flux_p50|rejected_component_count_p10|bottom_raw_in_flux_p50|left_raw_in_flux_p50|band_flow_mag_p90_min|left_filtered_out_flux_p50|background_gray_std_std|background_gray_mean_std|bottom_raw_candidate_pixels_p10|top_raw_out_flux_p10|raw_candidate_component_count_min
out_abs_error,3822,20,10.0,5,frame_diff_mean_p10,0.4574241500091205,0.4574241500091205,0.5254574862091624,0.5254574862091624,0.5474604840625428,0.5474604840625428,15.88478715229645,8.598447150205546,frame_diff_mean_p10|frame_diff_mean_min|entrance_gray_p95_std|frame_diff_changed_ratio_10_min|roi_flow_mag_mean_min|persistence_mean_min|persistence_max_min|background_value_mean_std|bottom_raw_in_flux_p50|rejected_component_count_p10|left_raw_in_flux_p50|left_raw_out_flux_p50|background_value_std_std|band_flow_mag_p90_min|background_gray_mean_std|entrance_gray_std_std|frame_diff_changed_ratio_25_min|background_gray_std_std|background_value_std_max|top_raw_out_flux_p10
